origem,destino,tipo_conexao,justificativa,peso
REC,FOR,regional,"conexão regional nordeste",1.33
REC,SSA,regional,"conexão regional nordeste",1.33
REC,NAT,regional,"conexão regional nordeste",1.08
REC,JPA,regional,"conexão regional nordeste",0.67
REC,THE,regional,"conexão regional nordeste",1.75
REC,BSB,hub,"conexão entre hub regional e hub nacional",2.58
REC,GRU,hub,"conexão entre hub regional e hub nacional",3.16
REC,GIG,hub,"conexão entre hub regional e hub nacional",2.91
REC,CNF,hub,"conexão entre hubs regionais",2.5
REC,POA,nacional,"conexão entre hub regional e aeroporto intermediário",4.33
REC,FLN,nacional,"conexão entre hub regional e aeroporto intermediário",3.83
REC,MAO,nacional,"conexão entre hub regional e aeroporto intermediário",4.08
REC,BEL,nacional,"conexão entre hub regional e aeroporto intermediário",2.66
REC,VIX,nacional,"conexão entre hub regional e aeroporto intermediário",2.33
REC,GYN,nacional,"conexão entre hub regional e aeroporto intermediário",2.75
REC,CGH,nacional,"conexão entre hub regional e aeroporto intermediário",3.25
SSA,FOR,regional,"conexão regional nordeste",1.75
SSA,NAT,regional,"conexão regional nordeste",1.5
SSA,JPA,regional,"conexão regional nordeste",1.5
SSA,GRU,hub,"conexão entre hub regional e hub nacional",2.25
SSA,BSB,hub,"conexão entre hub regional e hub nacional",1.91
SSA,GIG,hub,"conexão entre hub regional e hub nacional",2.08
SSA,CNF,hub,"conexão entre hubs regionais",1.58
SSA,CGH,nacional,"conexão entre hub regional e aeroporto intermediário",2.41
SSA,VIX,nacional,"conexão entre hub regional e aeroporto intermediário",1.58
SSA,GYN,nacional,"conexão entre hub regional e aeroporto intermediário",2.08
SSA,CWB,nacional,"conexão entre hub regional e aeroporto intermediário",3.0
SSA,POA,nacional,"conexão entre hub regional e aeroporto intermediário",3.83
SSA,BEL,nacional,"conexão entre hub regional e aeroporto intermediário",1.58
FOR,NAT,regional,"conexão regional nordeste",1.0
FOR,THE,regional,"conexão regional nordeste",1.08
FOR,GRU,hub,"conexão entre hub regional e hub nacional",3.25
FOR,BSB,hub,"conexão entre hub regional e hub nacional",2.67
FOR,GIG,hub,"conexão entre hub regional e hub nacional",3.33
FOR,CNF,hub,"conexão entre hubs regionais",2.75
FOR,CGH,nacional,"conexão entre hub regional e aeroporto intermediário",3.67
FOR,MAO,nacional,"conexão entre hub regional e aeroporto intermediário",3.41
FOR,BEL,nacional,"conexão entre hub regional e aeroporto intermediário",2.75
NAT,GRU,hub,"conexão entre aeroporto regional e hub nacional",3.33
NAT,BSB,hub,"conexão entre aeroporto regional e hub nacional",2.66
NAT,GIG,hub,"conexão entre aeroporto regional e hub nacional",3.25
NAT,CNF,hub,"conexão entre aeroporto regional e hub regional",2.75
NAT,CGH,nacional,"conexão entre aeroporto regional e aeroporto intermediário",3.5
NAT,BEL,nacional,"conexão entre aeroporto regional e aeroporto intermediário",2.75
JPA,GRU,hub,"conexão entre aeroporto regional e hub nacional",3.25
JPA,BSB,hub,"conexão entre aeroporto regional e hub nacional",2.75
JPA,GIG,hub,"conexão entre aeroporto regional e hub nacional",3.0
JPA,CNF,hub,"conexão entre aeroporto regional e hub regional",2.66
JPA,CGH,nacional,"conexão entre aeroporto regional e aeroporto intermediário",3.41
JPA,VIX,nacional,"conexão entre aeroporto regional e aeroporto intermediário",2.33
JPA,GYN,nacional,"conexão entre aeroporto regional e aeroporto intermediário",2.75
JPA,POA,nacional,"conexão entre aeroporto regional e aeroporto intermediário",4.33
JPA,MAO,nacional,"conexão entre aeroporto regional e aeroporto intermediário",4.08
JPA,BEL,nacional,"conexão entre aeroporto regional e aeroporto intermediário",2.66
THE,GRU,hub,"conexão entre aeroporto regional e hub nacional",3.0
THE,BSB,hub,"conexão entre aeroporto regional e hub nacional",2.16
THE,CNF,hub,"conexão entre aeroporto regional e hub regional",2.5
THE,BEL,nacional,"conexão entre aeroporto regional e aeroporto intermediário",1.33
GRU,GIG,hub,"conexão entre hubs nacionais",1.0
GRU,CNF,hub,"conexão entre hub nacional e hub regional",1.08
GRU,VIX,regional,"conexão entre hub nacional e aeroporto intermediário",1.33
GRU,BSB,hub,"conexão entre hubs nacionais",1.58
GRU,GYN,nacional,"conexão entre hub nacional e aeroporto intermediário",1.41
GRU,CWB,nacional,"conexão entre hub nacional e aeroporto intermediário",0.91
GRU,FLN,nacional,"conexão entre hub nacional e aeroporto intermediário",1.08
GRU,POA,nacional,"conexão entre hub nacional e aeroporto intermediário",1.58
GRU,MAO,nacional,"conexão entre hub nacional e aeroporto intermediário",3.75
GRU,BEL,nacional,"conexão entre hub nacional e aeroporto intermediário",3.33
GRU,PVH,nacional,"conexão entre hub nacional e aeroporto periférico",3.66
GRU,RBR,nacional,"conexão entre hub nacional e aeroporto periférico",3.91
CGH,GIG,hub,"conexão entre aeroporto intermediário e hub nacional",1.0
CGH,CNF,hub,"conexão entre aeroporto intermediário e hub regional",1.08
CGH,VIX,regional,"conexão entre aeroportos intermediários",1.33
CGH,BSB,hub,"conexão entre aeroporto intermediário e hub nacional",1.58
CGH,GYN,nacional,"conexão entre aeroportos intermediários",1.41
CGH,CWB,nacional,"conexão entre aeroportos intermediários",0.91
CGH,FLN,nacional,"conexão entre aeroportos intermediários",1.08
CGH,POA,nacional,"conexão entre aeroportos intermediários",1.58
CGH,MAO,nacional,"conexão entre aeroportos intermediários",3.75
CGH,BEL,nacional,"conexão entre aeroportos intermediários",3.33
CGH,PVH,nacional,"conexão entre aeroporto intermediário e aeroporto periférico",3.66
CGH,RBR,nacional,"conexão entre aeroporto intermediário e aeroporto periférico",3.91
GIG,CNF,hub,"conexão entre hub nacional e hub regional",1.0
GIG,VIX,regional,"conexão entre hub nacional e aeroporto intermediário",1.08
GIG,BSB,hub,"conexão entre hubs nacionais",1.75
