source,target,peso
tt0000502,tt0000941,0.2
tt0000502,tt0010176,-0.7
tt0000502,tt0013078,-1.4
tt0000630,tt0001112,0.4
tt0000630,tt0003102,-1.9
tt0000630,tt0007519,-0.7
tt0000679,tt0003816,-0.4
tt0000679,tt0004633,-1.7
tt0000679,tt0007201,-2.1
tt0000842,tt0001203,0.5
tt0000842,tt0001756,0.3
tt0000842,tt0002165,0.5
tt0000842,tt0006345,0.4
tt0000846,tt0000984,0.1
tt0000846,tt0001082,0.6
tt0000850,tt0000502,0.2
tt0000850,tt0000941,-1.6
tt0000850,tt0001051,-0.7
tt0000850,tt0001184,-0.5
tt0000850,tt0004571,-2.1
tt0000850,tt0006419,-0.4
tt0000850,tt0010176,-1.5
tt0000850,tt0013078,-2.2
tt0000859,tt0000842,-0.5
tt0000859,tt0000868,0.6
tt0000859,tt0000869,0.6
tt0000859,tt0001203,-1.0
tt0000859,tt0001756,-1.2
tt0000859,tt0002165,-1.0
tt0000859,tt0006345,-1.1
tt0000859,tt0006419,-0.5
tt0000867,tt0000846,0.9
tt0000867,tt0000984,0.0
tt0000867,tt0001082,0.5
tt0000868,tt0000842,-0.1
tt0000868,tt0001203,-0.6
tt0000868,tt0001756,-0.8
tt0000868,tt0002165,-0.6
tt0000868,tt0006345,-0.7
tt0000868,tt0006419,-0.1
tt0000869,tt0000842,-0.1
tt0000869,tt0001203,-0.6
tt0000869,tt0001756,-0.8
tt0000869,tt0002165,-0.6
tt0000869,tt0006345,-0.7
tt0000869,tt0006419,-0.1
tt0000879,tt0000846,0.4
tt0000879,tt0000867,0.5
tt0000879,tt0000984,-0.5
tt0000879,tt0001082,0.0
tt0000886,tt0007518,-0.6
tt0000941,tt0004571,-0.5
tt0000941,tt0010176,0.1
tt0000941,tt0013078,-0.6
tt0001007,tt0000959,0.8
tt0001010,tt0000959,0.8
tt0001028,tt0001142,0.6
tt0001028,tt0001495,0.6
tt0001028,tt0001812,-0.8
tt0001028,tt0002094,-1.2
tt0001028,tt0002286,0.5
tt0001028,tt0002362,0.8
tt0001028,tt0006318,-0.6
tt0001028,tt0006715,-1.9
tt0001028,tt0011280,-0.3
tt0001028,tt0012885,-0.9
tt0001028,tt0014776,-2.2
tt0001043,tt0001028,0.2
tt0001043,tt0001142,-0.2
tt0001043,tt0001247,0.5
tt0001043,tt0001379,0.3
tt0001043,tt0001495,-0.2
tt0001043,tt0001812,-1.6
tt0001043,tt0002094,-2.0
tt0001043,tt0002286,-0.3
tt0001043,tt0002362,0.0
tt0001043,tt0006318,-1.4
tt0001043,tt0006715,-2.7
tt0001043,tt0011280,-1.1
tt0001043,tt0012885,-1.7
tt0001043,tt0014776,-3.0
tt0001051,tt0000502,0.9
tt0001051,tt0000941,-0.9
tt0001051,tt0004571,-1.4
tt0001051,tt0006419,0.3
tt0001051,tt0010176,-0.8
tt0001051,tt0013078,-1.5
tt0001069,tt0000959,0.8
tt0001080,tt0001028,0.2
tt0001080,tt0001142,-0.2
tt0001080,tt0001247,0.5
tt0001080,tt0001379,0.3
tt0001080,tt0001495,-0.2
tt0001080,tt0001812,-1.6
tt0001080,tt0002094,-2.0
tt0001080,tt0002286,-0.3
tt0001080,tt0002362,0.0
tt0001080,tt0006318,-1.4
tt0001080,tt0006715,-2.7
tt0001080,tt0011280,-1.1
tt0001080,tt0012885,-1.7
tt0001080,tt0014776,-3.0
tt0001081,tt0000959,0.5
tt0001081,tt0001007,0.7
tt0001081,tt0001010,0.7
tt0001081,tt0001069,0.7
tt0001082,tt0000984,0.5
tt0001112,tt0003102,-1.3
tt0001112,tt0007519,-0.1
tt0001113,tt0001364,0.2
tt0001113,tt0001366,0.5
tt0001115,tt0001277,0.8
tt0001116,tt0001277,0.8
tt0001142,tt0001812,-0.4
tt0001142,tt0002094,-0.8
tt0001142,tt0002286,0.9
tt0001142,tt0006318,-0.2
tt0001142,tt0006715,-1.5
tt0001142,tt0011280,0.1
tt0001142,tt0012885,-0.5
tt0001142,tt0014776,-1.8
tt0001175,tt0005566,0.4
tt0001175,tt0008359,0.5
tt0001175,tt0009882,-0.3
tt0001175,tt0010799,-0.5
tt0001184,tt0000502,0.7
tt0001184,tt0000941,-1.1
tt0001184,tt0001051,-0.2
tt0001184,tt0004571,-1.6
tt0001184,tt0006419,0.1
tt0001184,tt0010176,-1.0
tt0001184,tt0013078,-1.7
tt0001203,tt0001756,0.8
tt0001203,tt0006345,0.9
tt0001240,tt0001592,-1.0
tt0001240,tt0002500,-1.1
tt0001240,tt0002556,-0.8
tt0001240,tt0002646,-1.7
tt0001240,tt0011608,-1.9
tt0001247,tt0001028,0.7
tt0001247,tt0001142,0.3
tt0001247,tt0001379,0.8
tt0001247,tt0001495,0.3
tt0001247,tt0001812,-1.1
tt0001247,tt0002094,-1.5
tt0001247,tt0002286,0.2
tt0001247,tt0002362,0.5
tt0001247,tt0006318,-0.9
tt0001247,tt0006715,-2.2
tt0001247,tt0011280,-0.6
tt0001247,tt0012885,-1.2
tt0001247,tt0014776,-2.5
tt0001285,tt0007817,-0.8
tt0001285,tt0008787,-2.2
tt0001285,tt0013182,0.0
tt0001285,tt0014580,-1.0
tt0001366,tt0001364,0.7
tt0001379,tt0001028,0.9
tt0001379,tt0001142,0.5
tt0001379,tt0001495,0.5
tt0001379,tt0001812,-0.9
tt0001379,tt0002094,-1.3
tt0001379,tt0002286,0.4
tt0001379,tt0002362,0.7
tt0001379,tt0006318,-0.7
tt0001379,tt0006715,-2.0
tt0001379,tt0011280,-0.4
tt0001379,tt0012885,-1.0
tt0001379,tt0014776,-2.3
tt0001440,tt0001115,0.8
tt0001440,tt0001116,0.8
tt0001440,tt0001277,0.6
tt0001495,tt0001812,-0.4
tt0001495,tt0002094,-0.8
tt0001495,tt0002286,0.9
tt0001495,tt0006318,-0.2
tt0001495,tt0006715,-1.5
tt0001495,tt0011280,0.1
tt0001495,tt0012885,-0.5
tt0001495,tt0014776,-1.8
tt0001498,tt0004306,0.8
tt0001531,tt0001530,-0.5
tt0001586,tt0002669,-1.5
tt0001586,tt0004874,-0.4
tt0001586,tt0005149,-0.8
tt0001586,tt0005193,-3.0
tt0001586,tt0006517,-0.6
tt0001586,tt0007167,0.1
tt0001592,tt0002500,0.9
tt0001592,tt0002646,0.3
tt0001592,tt0011608,0.1
tt0001602,tt0005714,0.6
tt0001602,tt0012890,-1.6
tt0001602,tt0012999,-0.6
tt0001602,tt0013962,-1.3
tt0001602,tt0014415,-0.4
tt0001602,tt0015533,-1.6
tt0001602,tt0016834,-2.6
tt0001602,tt0017266,-1.0
tt0001602,tt0017771,-0.1
tt0001604,tt0001911,0.9
tt0001604,tt0002594,-2.0
tt0001604,tt0004731,-1.6
tt0001604,tt0007100,-2.9
tt0001604,tt0009829,-0.9
tt0001604,tt0010680,-1.7
tt0001604,tt0011533,-1.3
tt0001630,tt0003884,0.9
tt0001630,tt0011845,0.2
tt0001630,tt0012048,0.7
tt0001712,tt0005192,-1.0
tt0001712,tt0005363,-1.4
tt0001712,tt0005930,-0.1
tt0001712,tt0006700,0.1
tt0001790,tt0002898,0.0
tt0001790,tt0005049,0.4
tt0001790,tt0005295,0.6
tt0001790,tt0005537,0.6
