source,target,actors_common,genres_common,similaridade,rating_media,peso,peso_bf
tt0012313,tt0012314,10,2,22,6.7,0.045455,0.045455
tt0022222,tt0022346,10,0,20,3.7,0.05,0.05
tt0009158,tt0009238,10,0,20,0.0,0.05,0.05
tt0029073,tt0029074,10,2,22,6.65,0.045455,0.045455
tt0001115,tt0001116,9,0,18,3.9,0.055556,0.055556
tt0014148,tt0018025,9,0,18,0.0,0.055556,0.055556
tt0020795,tt0021195,9,2,20,2.4,0.05,0.05
tt0009253,tt0010326,9,0,18,0.0,0.055556,0.055556
tt0029163,tt0029354,9,2,20,5.9,0.05,0.05
tt0010634,tt0011424,9,0,18,0.0,0.055556,0.055556
tt0007666,tt0007667,9,2,20,0.0,0.05,0.05
tt0016324,tt0017452,9,1,19,1.8,0.052632,0.052632
tt0011105,tt0012715,9,0,18,0.0,0.055556,0.055556
tt0027326,tt0027567,9,1,19,5.65,0.052632,0.052632
tt0028627,tt0028655,9,2,20,5.75,0.05,0.05
tt0028627,tt0029023,9,2,20,5.2,0.05,0.05
tt0028627,tt0029332,9,1,19,5.9,0.052632,0.052632
tt0028655,tt0029023,9,2,20,5.35,0.05,0.05
tt0028655,tt0029332,9,2,20,6.05,0.05,0.05
tt0029023,tt0029332,9,1,19,5.5,0.052632,0.052632
tt0026354,tt0028213,9,2,20,5.35,0.05,0.05
tt0006585,tt0007032,8,0,16,0.0,0.0625,0.0625
tt0001790,tt0003159,8,1,17,5.85,0.058824,0.058824
tt0019879,tt0020079,8,2,18,4.25,0.055556,0.055556
tt0028232,tt0028306,8,2,18,5.8,0.055556,0.055556
tt0007570,tt0008656,8,1,17,0.0,0.058824,0.058824
tt0015174,tt0015175,8,3,19,8.0,0.052632,-0.347368
tt0011195,tt0012740,8,1,17,2.65,0.058824,0.058824
tt0010189,tt0014880,8,0,16,2.9,0.0625,0.0625
tt0004223,tt0005853,8,1,17,5.3,0.058824,0.058824
tt0008470,tt0008970,8,0,16,0.0,0.0625,0.0625
tt0007666,tt0007668,8,2,18,0.0,0.055556,0.055556
tt0008687,tt0009209,8,2,18,6.55,0.055556,0.055556
tt0021880,tt0022312,8,1,17,2.7,0.058824,0.058824
tt0028101,tt0028188,8,2,18,5.95,0.055556,0.055556
tt0026052,tt0026785,8,2,18,6.05,0.055556,0.055556
tt0027326,tt0028627,8,1,17,5.5,0.058824,0.058824
tt0027326,tt0028655,8,1,17,5.65,0.058824,0.058824
tt0027326,tt0029023,8,1,17,5.1,0.058824,0.058824
tt0027326,tt0029332,8,1,17,5.8,0.058824,0.058824
tt0027567,tt0028627,8,1,17,5.75,0.058824,0.058824
tt0027567,tt0028655,8,1,17,5.9,0.058824,0.058824
tt0027567,tt0029023,8,1,17,5.35,0.058824,0.058824
tt0027567,tt0029332,8,1,17,6.05,0.058824,0.058824
tt0005183,tt0006420,7,0,14,0.0,0.071429,0.071429
tt0006585,tt0008654,7,0,14,0.0,0.071429,0.071429
tt0006585,tt0009547,7,0,14,3.4,0.071429,0.071429
tt0007383,tt0007570,7,1,15,0.0,0.066667,0.066667
tt0007383,tt0008656,7,1,15,0.0,0.066667,0.066667
tt0007895,tt0008560,7,1,15,0.0,0.066667,0.066667
tt0019648,tt0019736,7,2,16,0.0,0.0625,0.0625
tt0008883,tt0009800,7,1,15,0.0,0.066667,0.066667
tt0026567,tt0027199,7,2,16,6.2,0.0625,0.0625
tt0005062,tt0005979,7,0,14,5.55,0.071429,0.071429
tt0004740,tt0004838,7,1,15,5.5,0.066667,0.066667
tt0011133,tt0011670,7,1,15,3.35,0.066667,0.066667
tt0002844,tt0003930,7,2,16,6.85,0.0625,0.0625
tt0003037,tt0003930,7,2,16,6.85,0.0625,0.0625
tt0002844,tt0003165,7,2,16,6.9,0.0625,0.0625
tt0010726,tt0011723,7,1,15,6.3,0.066667,0.066667
tt0021168,tt0021234,7,1,15,6.35,0.066667,0.066667
tt0007974,tt0012276,7,0,14,0.0,0.071429,0.071429
tt0007009,tt0007992,7,0,14,5.85,0.071429,0.071429
tt0003988,tt0006087,7,0,14,0.0,0.071429,0.071429
tt0003599,tt0004155,7,1,15,6.7,0.066667,0.066667
tt0008284,tt0008470,7,0,14,0.0,0.071429,0.071429
tt0008284,tt0008970,7,0,14,0.0,0.071429,0.071429
tt0005900,tt0006097,7,1,15,0.0,0.066667,0.066667
tt0006063,tt0006097,7,0,14,2.1,0.071429,0.071429
tt0007617,tt0009055,7,0,14,2.6,0.071429,0.071429
tt0007667,tt0007668,7,2,16,0.0,0.0625,0.0625
tt0009883,tt0010176,7,0,14,2.6,0.071429,0.071429
tt0019383,tt0019396,7,1,15,2.65,0.066667,0.066667
tt0024047,tt0024488,7,2,16,3.1,0.0625,0.0625
tt0008470,tt0010041,7,0,14,0.0,0.071429,0.071429
tt0009414,tt0010041,7,0,14,2.5,0.071429,0.071429
tt0010041,tt0010536,7,0,14,2.85,0.071429,0.071429
tt0003886,tt0005633,7,1,15,3.15,0.066667,0.066667
tt0012291,tt0012701,7,1,15,3.2,0.066667,0.066667
tt0018225,tt0018653,7,0,14,0.0,0.071429,0.071429
tt0025021,tt0025861,7,2,16,7.2,0.0625,0.0625
tt0006909,tt0008491,7,0,14,2.55,0.071429,0.071429
tt0012533,tt0012548,7,0,14,3.25,0.071429,0.071429
tt0028865,tt0029288,7,2,16,6.05,0.0625,0.0625
tt0012035,tt0013227,7,1,15,2.6,0.066667,0.066667
tt0016260,tt0016456,7,2,16,0.0,0.0625,0.0625
tt0007097,tt0007843,7,0,14,0.0,0.071429,0.071429
tt0027469,tt0028173,7,1,15,5.55,0.066667,0.066667
tt0008438,tt0009410,7,2,16,0.0,0.0625,0.0625
tt0019137,tt0019970,7,2,16,2.6,0.0625,0.0625
tt0007627,tt0007888,7,1,15,0.0,0.066667,0.066667
tt0011393,tt0011394,7,0,14,5.95,0.071429,0.071429
tt0018502,tt0018504,7,0,14,0.0,0.071429,0.071429
tt0021212,tt0021264,7,1,15,3.35,0.066667,0.066667
tt0022830,tt0023724,7,0,14,0.0,0.071429,0.071429
tt0024938,tt0026463,7,1,15,0.0,0.066667,0.066667
tt0022125,tt0027489,7,1,15,7.7,0.066667,0.066667
tt0022877,tt0027489,7,1,15,7.65,0.066667,0.066667
tt0003746,tt0004345,6,0,12,2.15,0.083333,0.083333
tt0003746,tt0005045,6,0,12,0.0,0.083333,0.083333
tt0003874,tt0006419,6,0,12,2.05,0.083333,0.083333
tt0004345,tt0005045,6,0,12,2.15,0.083333,0.083333
tt0005197,tt0005755,6,0,12,0.0,0.083333,0.083333
tt0001115,tt0001440,6,0,12,3.8,0.083333,0.083333
tt0001116,tt0001440,6,0,12,3.8,0.083333,0.083333
tt0006133,tt0006868,6,1,13,0.0,0.076923,0.076923
tt0024301,tt0025893,6,1,13,5.55,0.076923,0.076923
tt0008361,tt0009287,6,0,12,2.3,0.083333,0.083333
tt0008361,tt0009638,6,1,13,2.3,0.076923,0.076923
tt0008873,tt0009070,6,0,12,0.0,0.083333,0.083333
tt0009070,tt0010075,6,0,12,0.0,0.083333,0.083333
tt0009287,tt0009638,6,0,12,0.0,0.083333,0.083333
tt0005352,tt0006699,6,1,13,5.65,0.076923,0.076923
tt0001602,tt0005183,6,0,12,1.95,0.083333,0.083333
tt0001602,tt0006420,6,0,12,1.95,0.083333,0.083333
tt0006585,tt0007859,6,1,13,0.0,0.076923,0.076923
tt0006585,tt0009735,6,0,12,0.0,0.083333,0.083333
tt0007032,tt0007859,6,0,12,0.0,0.083333,0.083333
tt0007859,tt0009735,6,0,12,0.0,0.083333,0.083333
tt0007032,tt0008654,6,0,12,0.0,0.083333,0.083333
tt0006420,tt0007859,6,1,13,0.0,0.076923,0.076923
tt0007859,tt0009547,6,0,12,3.4,0.083333,0.083333
tt0009547,tt0009735,6,0,12,3.4,0.083333,0.083333
tt0016881,tt0017497,6,2,14,3.05,0.071429,0.071429
tt0010994,tt0011270,6,0,12,2.95,0.083333,0.083333
tt0009617,tt0011495,6,0,12,2.35,0.083333,0.083333
tt0006543,tt0006812,6,1,13,0.0,0.076923,0.076923
tt0006277,tt0007052,6,2,14,0.0,0.071429,0.071429
tt0006889,tt0008491,6,0,12,2.55,0.083333,0.083333
tt0008216,tt0008491,6,1,13,2.55,0.076923,0.076923
