tconst,titulo,ano,generos,nota,diretores
tt0000009,Miss Jerry,1894,Romance,5.3,nm0085156
tt0000147,The Corbett-Fitzsimmons Fight,1897,"Documentary,News,Sport",5.3,nm0714557
tt0000591,The Prodigal Son,1907,Drama,5.0,nm0141150
tt0000630,Hamlet,1908,Drama,3.2,nm0143333
tt0000679,The Fairylogue and Radio-Plays,1908,"Adventure,Fantasy",5.0,nm0091767|nm0877783
tt0000862,Faldgruben,1909,,3.6,nm0878467
tt0000941,Locura de amor,1909,Drama,4.3,nm0063413|nm0550220
tt0000947,Lægens offer,1909,,3.1,
tt0001049,Gøngehøvdingen,1909,"Drama,War",4.2,nm0022607
tt0001112,Hamlet,1910,Drama,3.8,nm0143333
tt0001115,Ansigttyven I,1910,Crime,3.9,nm0375839
tt0001116,Ansigttyven II,1910,,3.9,nm0375839
tt0001122,The Red Inn,1910,,4.4,nm0605942
tt0001159,The Connecticut Yankee,1910,,5.2,
tt0001175,Camille,1912,"Drama,Romance",5.5,nm0130633|nm0580197|nm0693516
tt0001184,Don Juan de Serrallonga,1910,"Adventure,Drama",3.2,nm0063413|nm0550220
tt0001230,Gentleman Joe,1910,,4.9,
tt0001240,Hamlet,1911,Drama,3.8,nm0088881
tt0001277,Kapergasten,1910,Drama,4.1,nm0375839
tt0001285,The Life of Moses,1909,"Biography,Drama,Family",5.2,nm0085865
tt0001341,Jarní sen starého mládence,1913,Comedy,,nm1024681
tt0001370,Rainha Depois de Morta Inês de Castro,1910,"Drama,History",4.5,nm0764002
tt0001422,Trail to the West,1910,,,nm0001908
tt0001440,Valdemar Sejr,1910,"Drama,History",3.7,nm0375839
tt0001498,The Battle of Trafalgar,1911,War,7.6,nm0205986
tt0001530,The Bushranger's Bride,1911,Drama,5.8,nm0738202
tt0001531,"Captain Starlight, or Gentleman of the Road",1911,,4.3,nm0738202
tt0001586,A Dog's Tale,1911,,4.2,nm0408436
tt0001592,In the Prime of Life,1911,Drama,5.8,nm0088881
tt0001602,El fantasma del castillo,1911,,3.9,nm0118272|nm0736464
tt0001603,Den farlige leg,1911,Drama,,nm0511155
tt0001604,The Fatal Wedding,1911,Drama,3.6,nm0519315
tt0001628,The Four Poster Pest,1911,,,
tt0001630,Der fremde Vogel,1911,,6.2,nm0300487
tt0001706,The Infant at Snakeville,1911,,4.3,nm0001908
tt0001711,Jahreszeiten des Lebens,1915,,,nm0388674
tt0001731,The Convict Hero,1911,Drama,,nm0738202
tt0001756,Lucha por la herencia,1911,,4.8,nm0005717|nm0611814
tt0001790,"Les Misérables, Part 1: Jean Valjean",1913,Drama,6.0,nm0135052
tt0001812,Oedipus Rex,1911,Drama,5.6,nm0294276
tt0001889,Skæbnebæltet,1911,,4.1,nm0727484
tt0001892,Den sorte drøm,1911,Drama,5.8,nm0300487
tt0001911,Nell Gwynne,1911,"Biography,Drama,History",3.7,nm0519315
tt0001914,The Devil's Assistant,1913,Drama,,nm0300487
tt0001964,The Traitress,1911,Drama,5.7,nm0300487
tt0001992,Zwei Frauen,1911,,6.0,nm0350695
tt0002020,Queen Elizabeth,1912,"Biography,Drama,History",4.7,
tt0002022,Anfisa,1912,Drama,6.0,nm0698839
tt0002026,Anny - Story of a Prostitute,1912,"Drama,Romance",4.6,nm0259235
tt0002031,As You Like It,1912,,4.9,nm0085865|nm0448682|nm0949648
tt0002101,Cleopatra,1912,"Drama,History",5.1,nm0309130
tt0002119,The Crime and the Criminal,1912,,,nm0738202
tt0002140,Do Men Love Women?,1912,,,nm0738202
tt0002153,The Great Circus Catastrophe,1912,Drama,5.9,nm0773654
tt0002157,Der Eid des Stephan Huller,1912,,,nm0488932
tt0002163,Eva,1913,Drama,6.8,nm0823150
tt0002186,The Flying Circus,1912,Drama,6.5,nm0511155
tt0002199,From the Manger to the Cross,1912,"Biography,Drama",5.9,nm0646058
tt0002211,Den glade løjtnant,1912,Romance,5.0,nm0227602
tt0002220,Grannie,1912,,4.2,nm0000428
tt0002262,Il y a des pieds au plafond,1912,,5.3,nm0304098
tt0002305,Life of Villa,1912,"Documentary,War",7.6,nm0127511
tt0002328,The Lust for Gold,1912,,,nm0294276
tt0002333,The Might of Gold,1912,,,nm0300487
tt0002335,Magda,1912,,,nm0063413|nm0550220
tt0002337,The Mail Order Wife,1912,,5.2,
tt0002348,Maskierte Liebe,1912,,6.2,nm0350695|nm0823150
tt0002361,The Midnight Wedding,1912,Drama,,nm0519315
tt0002375,La mort du duc d'Enghien,1912,,5.6,nm0135052
tt0002395,Le nègre blanc,1912,,4.9,nm0304098
tt0002405,Oliver Twist,1912,Drama,5.1,
tt0002406,Oliver Twist,1912,Drama,4.6,nm0072872
tt0002410,Only a Woman,1912,,,nm0294276
tt0002423,Passion,1919,"Biography,Drama,Romance",6.7,nm0523932
tt0002425,Paul J. Rainey's African Hunt,1912,Documentary,,
tt0002445,Quo Vadis?,1913,"Drama,History",6.1,nm0345500
tt0002446,Race for a Life,1912,,,
tt0002452,The Independence of Romania,1912,"History,War",6.3,nm0218404
tt0002461,The Life and Death of King Richard III,1912,Drama,5.7,
tt0002467,"Romani, the Brigand",1912,,,nm0294276
tt0002491,The Sin of a Woman,1912,,,nm0738202
tt0002500,The Black Chancellor,1912,Drama,5.9,nm0088881
tt0002514,Saved in Mid-Air,1912,Drama,4.9,nm0830249
